# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
accession	v.	make a record of additions to a collection, such as a library
accessory	n.	clothing that is worn or carried, but not part of your main clothing
accessory	n.	a supplementary component that improves capability
accessory	n.	someone who helps another person commit a crime
accessory	adj.	aiding and abetting in a crime
accessory	adj.	furnishing added support
accident	n.	an unfortunate mishap; especially one causing damage or injury
accident	n.	anything that happens suddenly or by chance without an apparent cause
accidental	n.	a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
accidental	adj.	happening by chance or unexpectedly or unintentionally
acclaim	n.	enthusiastic approval
acclaim	v.	praise vociferously
acclaim	v.	clap one's hands or shout after performances to indicate approval
acclamation	n.	enthusiastic approval
acclimate	v.	get used to a certain climate
acclimation	n.	adaptation to a new climate (a new temperature or altitude or environment)
acclimatization	n.	adaptation to a new climate (a new temperature or altitude or environment)
acclimatize	v.	get used to a certain climate
acclivity	n.	an upward slope or grade (as in a road)
accolade	n.	a tangible symbol signifying approval or distinction
accommodate	v.	be agreeable or acceptable to
accommodate	v.	make fit for, or change to suit a new purpose
accommodate	v.	provide with something desired or needed
accommodate	v.	have room for; hold without crowding
accommodate	v.	provide housing for
accommodate	v.	provide a service or favor for someone
accommodate	v.	make (one thing) compatible with (another)
accommodating	v.	be agreeable or acceptable to
accommodating	v.	make fit for, or change to suit a new purpose
accommodating	v.	provide with something desired or needed
accommodating	v.	have room for; hold without crowding
accommodating	v.	provide housing for
accommodating	v.	provide a service or favor for someone
accommodating	v.	make (one thing) compatible with (another)
accommodating	adj.	helpful in bringing about a harmonious adaptation
accommodating	adj.	obliging; willing to do favors
accommodation	n.	making or becoming suitable; adjusting to circumstances
accommodation	n.	a settlement of differences
accommodation	n.	in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
accommodation	n.	living quarters provided for public convenience
accommodation	n.	the act of providing something (lodging or seat or food) to meet a need
accommodation	n.	(physiology) the automatic adjustment in focal length of the natural lens of the eye
accompanied	v.	be present or associated with an event or entity
accompanied	v.	go or travel along with
accompanied	v.	perform an accompaniment to
accompanied	v.	be a companion to somebody
accompanied	adj.	having companions or an escort
accompanied	adj.	playing or singing with instrumental or vocal accompaniment
accompaniment	n.	an event or situation that happens at the same time as or in connection with another
accompaniment	n.	a musical part (vocal or instrumental) that supports or provides background for other musical parts
accompaniment	n.	something added to complete or embellish or make perfect
accompaniment	n.	the act of accompanying someone or something in order to protect them
accompanist	n.	a person who provides musical accompaniment (usually on a piano)
accompany	v.	be present or associated with an event or entity
accompany	v.	go or travel along with
accompany	v.	perform an accompaniment to
accompany	v.	be a companion to somebody
accomplice	n.	a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accomplish	v.	put in effect
accomplish	v.	to gain with effort
accomplished	v.	put in effect
accomplished	v.	to gain with effort
accomplished	adj.	highly skilled
accomplished	adj.	successfully completed or brought to an end
accomplished	adj.	settled securely and unconditionally
accomplishment	n.	the action of accomplishing something
accomplishment	n.	an ability that has been acquired by training
accord	n.	harmony of people's opinions or actions or characters
accord	n.	concurrence of opinion
accord	n.	a written agreement between two states or sovereigns
accord	n.	sympathetic compatibility
accord	v.	go together
accord	v.	allow to have
accordance	n.	concurrence of opinion
accordance	n.	the act of granting rights
accordant	adj.	being in agreement or harmony; often followed by `with'; -Thomas Hardy
accordant	adj.	in keeping
according	v.	go together
according	v.	allow to have
according	adj.	(followed by `to') in agreement with or accordant with
according	adj.	(followed by `to') as reported or stated by
accordion	n.	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
accordionist	n.	a musician who plays the accordion
accost	v.	speak to someone
accost	v.	approach with an offer of sexual favors
account	n.	a record or narrative description of past events
account	n.	a short account of the news
account	n.	a formal contractual relationship established to provide for regular banking or brokerage or business services
account	n.	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
account	n.	grounds
account	n.	importance or value
account	n.	a statement of recent transactions and the resulting balance
account	n.	the act of informing by verbal report
account	n.	an itemized statement of money owed for goods shipped or services rendered
account	n.	the quality of taking advantage
account	v.	be the sole or primary factor in the existence, acquisition, supply, or disposal of something
account	v.	keep an account of
account	v.	to give an account or representation of in words
account	v.	furnish a justifying analysis or explanation
accountability	n.	responsibility to someone or for some activity
accountable	adj.	liable to account for one's actions
accountancy	n.	the occupation of maintaining and auditing records and preparing financial reports for a business
accountant	n.	someone who maintains and audits business accounts
accounted	v.	be the sole or primary factor in the existence, acquisition, supply, or disposal of something
accounted	v.	keep an account of
accounted	v.	to give an account or representation of in words
accounted	v.	furnish a justifying analysis or explanation
accounting	n.	a convincing explanation that reveals basic causes
accounting	n.	a system that provides quantitative information about finances
accounting	n.	the occupation of maintaining and auditing records and preparing financial reports for a business
accounting	n.	a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts
accounting	n.	a statement of recent transactions and the resulting balance
accounting	v.	be the sole or primary factor in the existence, acquisition, supply, or disposal of something
accounting	v.	keep an account of
accounting	v.	to give an account or representation of in words
accounting	v.	furnish a justifying analysis or explanation
accouter	v.	provide with military equipment
accouterments	n.	clothing that is worn or carried, but not part of your main clothing
accra	n.	the capital and largest city of Ghana with a deep-water port
accredit	v.	grant credentials to
accredit	v.	provide or send (envoys or embassadors) with official credentials
accredit	v.	ascribe an achievement to
accreditation	n.	the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)
accredited	v.	grant credentials to
accredited	v.	provide or send (envoys or embassadors) with official credentials
accredited	v.	ascribe an achievement to
accredited	adj.	given official approval to act
accretion	n.	an increase by natural growth or addition
accretion	n.	something contributing to growth or increase
accretion	n.	(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases
accretion	n.	(biology) growth by addition as by the adhesion of parts or particles
accretion	n.	(geology) an increase in land resulting from alluvial deposits or waterborne sediment
accretion	n.	(law) an increase in a beneficiary's share in an estate (as when a co-beneficiary dies or fails to meet some condition or rejects the inheritance)
